,north,east,south,west
2022-01-21 08:30:00+00:00,19.993015033366603,19.993015033366603,19.993015033366603,19.993015033366603
2022-01-21 08:35:00+00:00,22.789739572754495,22.789739572754495,22.789739572754495,22.789739572754495
2022-01-21 08:40:00+00:00,26.100696014071858,26.100696014071858,26.100696014071858,26.100696014071858
2022-01-21 08:45:00+00:00,29.127842193331528,29.127842193331528,29.127842193331528,29.127842193331528
2022-01-21 08:50:00+00:00,31.797779976362165,31.797779976362165,31.797779976362165,31.797779976362165
2022-01-21 08:55:00+00:00,34.16409270793268,34.16409270793268,34.16409270793268,34.16409270793268
2022-01-21 09:00:00+00:00,36.48653039739947,36.48653039739947,36.48653039739947,36.48653039739947
2022-01-21 09:05:00+00:00,38.807161234235934,38.807161234235934,38.807161234235934,38.807161234235934
2022-01-21 09:10:00+00:00,41.11495010073849,41.11495010073849,41.11495010073849,41.11495010073849
2022-01-21 09:15:00+00:00,43.54859553696785,43.54859553696785,43.54859553696785,43.54859553696785
2022-01-21 09:20:00+00:00,43.68844807735137,45.97882534098997,47.86394925081677,43.68844807735137
2022-01-21 09:25:00+00:00,45.98372461697188,48.522041786152585,50.83905476260202,45.98372461697188
2022-01-21 09:30:00+00:00,48.41649779749597,51.26771857797109,54.14784933349382,48.41649779749597
2022-01-21 09:35:00+00:00,50.95764286652532,54.190648889277185,57.79905333808181,50.95764286652532
2022-01-21 09:40:00+00:00,53.55430567712453,57.2320372869724,61.76311114729196,53.55430567712453
2022-01-21 09:45:00+00:00,56.409128882263104,60.71002213533293,66.55684613970745,56.409128882263104
2022-01-21 09:50:00+00:00,59.42462998708629,64.54565877468362,72.22853457292965,59.42462998708629
2022-01-21 09:55:00+00:00,62.452672901712994,68.58048569598472,78.73318407765152,62.452672901712994
2022-01-21 10:00:00+00:00,64.28022567246292,70.63939845887533,82.28975370682183,64.28022567246292
2022-01-21 10:05:00+00:00,65.042137607146,70.84922922749155,82.63560753812266,65.042137607146
2022-01-21 10:10:00+00:00,64.84834655435768,69.62475653509522,80.392461936985,64.84834655435768
2022-01-21 10:15:00+00:00,65.42472354720294,69.74195283001704,80.58823550486343,65.42472354720294
2022-01-21 10:20:00+00:00,66.98192953898197,71.3311582702183,83.56021140998942,66.98192953898197
2022-01-21 10:25:00+00:00,69.23270234641708,73.96658253529696,88.94381145401054,69.23270234641708
2022-01-21 10:30:00+00:00,71.2791099478426,76.33298398491348,94.44619353042599,71.2791099478426
2022-01-21 10:35:00+00:00,73.03573905721603,78.27056306104446,99.70511617077332,73.03573905721603
2022-01-21 10:40:00+00:00,74.54393258693091,79.81717758954127,104.7530534691538,74.54393258693091
2022-01-21 10:45:00+00:00,75.83080199540841,80.99580491123896,109.60014518365878,75.83080199540841
2022-01-21 10:50:00+00:00,76.92260250678105,81.83484605010733,114.29374829923657,76.92260250678105
2022-01-21 10:55:00+00:00,77.83451607937603,82.34807165155534,118.85601270452258,77.83451607937603
2022-01-21 11:00:00+00:00,78.40889811362698,82.22560869445208,121.4445110033436,78.40889811362698
2022-01-21 11:05:00+00:00,78.7127900480646,81.63248227432359,122.02852603279364,78.7127900480646
2022-01-21 11:10:00+00:00,78.78942857140723,80.73776683823246,120.99098727681798,78.78942857140723
2022-01-21 11:15:00+00:00,78.50550322281505,79.4806875488762,117.5744123026573,78.50550322281505
2022-01-21 11:20:00+00:00,77.76158689577392,77.89129126027227,112.16442087206849,77.76158689577392
2022-01-21 11:25:00+00:00,76.44427478534291,76.44427478534291,105.30890668510273,76.94704263537436
2022-01-21 11:30:00+00:00,75.27667571830295,75.27667571830295,100.61083084475922,76.25504132799425
2022-01-21 11:35:00+00:00,74.5120711465774,74.5120711465774,98.11911850812578,75.92483514185446
2022-01-21 11:40:00+00:00,74.15303494660715,74.15303494660715,97.35866117526014,76.03529264238801
2022-01-21 11:45:00+00:00,73.68573109999113,73.68573109999113,96.38026133316941,76.01042741752887
2022-01-21 11:50:00+00:00,73.03662288101697,73.03662288101697,94.9375980250163,75.74852931276652
2022-01-21 11:55:00+00:00,72.2255675457216,72.2255675457216,93.12840793853422,75.26278695555192
2022-01-21 12:00:00+00:00,72.59911373418328,72.59911373418328,95.53750032567328,76.42700267272843
2022-01-21 12:05:00+00:00,73.84858784901628,73.84858784901628,102.47483169703351,79.2465480202649
2022-01-21 12:10:00+00:00,75.08019264019697,75.08019264019697,113.73559471370115,83.21278337107138
2022-01-21 12:15:00+00:00,75.06841430720934,75.06841430720934,122.27223435253487,86.03637441937119
2022-01-21 12:20:00+00:00,74.37350524721757,74.37350524721757,126.96642116733585,87.75746789330586
2022-01-21 12:25:00+00:00,73.41296951497739,73.41296951497739,128.27480201930445,88.59822198502005
2022-01-21 12:30:00+00:00,72.33684884760318,72.33684884760318,128.36214982205976,89.10502619485476
2022-01-21 12:35:00+00:00,71.17066883790366,71.17066883790366,127.74750949930169,89.38939233369827
2022-01-21 12:40:00+00:00,69.92500327766459,69.92500327766459,126.56495129473865,89.46420183489838
2022-01-21 12:45:00+00:00,68.60926403676163,68.60926403676163,124.79867197861881,89.29708620764359
2022-01-21 12:50:00+00:00,67.22580623631956,67.22580623631956,122.56762467833144,88.90108343469167
2022-01-21 12:55:00+00:00,65.77546193246297,65.77546193246297,119.94939069679667,88.28139011723462
2022-01-21 13:00:00+00:00,64.26160655296226,64.26160655296226,116.92417314791061,87.40848399105579
2022-01-21 13:05:00+00:00,62.68300444297521,62.68300444297521,113.56280769400993,86.28948512877668
2022-01-21 13:10:00+00:00,61.03814776151627,61.03814776151627,109.92399199023255,84.93178974870139
2022-01-21 13:15:00+00:00,59.32882153883671,59.32882153883671,105.97436106908849,83.30242417698267
2022-01-21 13:20:00+00:00,57.552504763292,57.552504763292,101.7715971436389,81.41130847273372
2022-01-21 13:25:00+00:00,55.70634005548001,55.70634005548001,97.38322622740877,79.27924936852857
2022-01-21 13:30:00+00:00,53.789883578246396,53.789883578246396,92.80479158747815,76.89216089119188
2022-01-21 13:35:00+00:00,51.80076981909296,51.80076981909296,88.09314339937163,74.27217222878262
2022-01-21 13:40:00+00:00,49.73764630812589,49.73764630812589,83.29377904927068,71.44031228848189
2022-01-21 13:45:00+00:00,47.60000997642638,47.60000997642638,78.53605391967818,68.47925417953121
2022-01-21 13:50:00+00:00,45.39072463903176,45.39072463903176,73.84516404434575,65.41394190706652
2022-01-21 13:55:00+00:00,43.11326348215208,43.11326348215208,69.23973588473464,62.267397139587395
2022-01-21 14:00:00+00:00,40.740502205337805,40.740502205337805,63.60418436366251,58.191730525371696
2022-01-21 14:05:00+00:00,38.203122044496126,38.203122044496126,57.02788771802233,53.15312214344021
2022-01-21 14:10:00+00:00,35.39209823549143,35.39209823549143,49.80684355962812,47.296715482616875
2022-01-21 14:15:00+00:00,32.51483061069012,32.51483061069012,43.80390333783937,42.20559703160089
2022-01-21 14:20:00+00:00,29.738534134120528,29.738534134120528,39.03437806960527,38.02945070861992
2022-01-21 14:25:00+00:00,27.109155763378702,27.109155763378702,35.198570207876024,34.602811970588995
2022-01-21 14:30:00+00:00,24.472847099007076,24.472847099007076,31.522664411751723,31.253821701427626
2022-01-21 14:35:00+00:00,21.80116183651298,21.80116183651298,27.87794069349046,27.868868081772007
2022-01-21 14:40:00+00:00,19.09225086806805,19.09225086806805,24.25048106801191,24.438041651327993
2022-01-21 14:45:00+00:00,16.511140180796072,16.511140180796072,21.249407065952074,21.607236567840914
2022-01-21 14:50:00+00:00,13.986083307140103,13.986083307140103,18.878330340122854,19.446217082652776
2022-01-21 14:55:00+00:00,11.260565829983538,11.260565829983538,17.068305713335572,17.98679683233911
2022-01-21 15:00:00+00:00,7.879005752334803,7.879005752334803,15.38492178076282,16.899991179415032
2022-01-21 15:05:00+00:00,3.9595611635465815,3.9595611635465815,13.674480159596571,16.07709553595234
2022-01-21 15:10:00+00:00,5.901827641110292,5.901827641110292,10.499120429636942,11.853852232041241
2022-01-21 15:15:00+00:00,7.905506528835339,7.905506528835339,7.905506528835339,7.905506528835339
2022-01-21 15:20:00+00:00,6.46814170541073,6.46814170541073,6.46814170541073,6.46814170541073
2022-01-21 15:25:00+00:00,5.292115940790596,5.292115940790596,5.292115940790596,5.292115940790596
2022-01-21 15:30:00+00:00,4.329913042465034,4.329913042465034,4.329913042465034,4.329913042465034
2022-01-21 15:35:00+00:00,3.5426561256532083,3.5426561256532083,3.5426561256532083,3.5426561256532083
2022-01-21 15:40:00+00:00,2.8985368300798973,2.8985368300798973,2.8985368300798973,2.8985368300798973
2022-01-21 15:45:00+00:00,2.371530133701734,2.371530133701734,2.371530133701734,2.371530133701734
2022-01-21 15:50:00+00:00,1.9403428366650548,1.9403428366650548,1.9403428366650548,1.9403428366650548
2022-01-21 15:55:00+00:00,1.587553229998681,1.587553229998681,1.587553229998681,1.587553229998681
2022-01-21 16:00:00+00:00,1.298907188180739,1.298907188180739,1.298907188180739,1.298907188180739
2022-01-21 16:05:00+00:00,1.0627422448751498,1.0627422448751498,1.0627422448751498,1.0627422448751498
2022-01-21 16:10:00+00:00,0.869516382170577,0.869516382170577,0.869516382170577,0.869516382170577
2022-01-21 16:15:00+00:00,0.7114224945031993,0.7114224945031993,0.7114224945031993,0.7114224945031993
2022-01-21 16:20:00+00:00,0.582072950048072,0.582072950048072,0.582072950048072,0.582072950048072
2022-01-21 16:25:00+00:00,0.4762415045847861,0.4762415045847861,0.4762415045847861,0.4762415045847861
2022-01-21 16:30:00+00:00,0.38965214011482496,0.38965214011482496,0.38965214011482496,0.38965214011482496
2022-01-21 16:35:00+00:00,0.31880629645758407,0.31880629645758407,0.31880629645758407,0.31880629645758407
2022-01-21 16:40:00+00:00,0.2608415152834778,0.2608415152834778,0.2608415152834778,0.2608415152834778
2022-01-21 16:45:00+00:00,0.21341578523193638,0.21341578523193638,0.21341578523193638,0.21341578523193638
2022-01-21 16:50:00+00:00,0.17461291518976613,0.17461291518976613,0.17461291518976613,0.17461291518976613
2022-01-21 16:55:00+00:00,0.14286511242799044,0.14286511242799044,0.14286511242799044,0.14286511242799044
2022-01-21 17:00:00+00:00,0.11688963744108306,0.11688963744108306,0.11688963744108306,0.11688963744108306
2022-01-21 17:05:00+00:00,0.09563697608815885,0.09563697608815885,0.09563697608815885,0.09563697608815885
2022-01-21 17:10:00+00:00,0.07824843498122086,0.07824843498122086,0.07824843498122086,0.07824843498122086
2022-01-21 17:15:00+00:00,0.06402144680281706,0.06402144680281706,0.06402144680281706,0.06402144680281706
2022-01-21 17:20:00+00:00,0.05238118374775941,0.05238118374775941,0.05238118374775941,0.05238118374775941
2022-01-21 17:25:00+00:00,0.04285733215725769,0.04285733215725769,0.04285733215725769,0.04285733215725769
2022-01-21 17:30:00+00:00,0.0350650899468472,0.0350650899468472,0.0350650899468472,0.0350650899468472
2022-01-21 17:35:00+00:00,0.02868961904742043,0.02868961904742043,0.02868961904742043,0.02868961904742043
2022-01-21 17:40:00+00:00,0.023473324675162166,0.023473324675162166,0.023473324675162166,0.023473324675162166
2022-01-21 17:45:00+00:00,0.019205447461496314,0.019205447461496314,0.019205447461496314,0.019205447461496314
2022-01-21 17:50:00+00:00,0.01571354792304244,0.01571354792304244,0.01571354792304244,0.01571354792304244
2022-01-21 17:55:00+00:00,0.012856539209761994,0.012856539209761994,0.012856539209761994,0.012856539209761994
